anio,jugador,seleccion,amarillas,rojas
1998,Ariel Ortega,Argentina,2,1
1998,Rigobert Song,Camerún,2,1
1998,Laurent Blanc,Francia,1,1
1998,Arthur Numan,Paises Bajos,1,1
1998,Alfred Phiri,Sudáfrica,1,1
1998,Ramon Ramirez,México,1,1
1998,Morten Wieghorst,Dinamarca,1,1
1998,Zinedine Zidane,Francia,1,1
1998,Mohammed Al Khlaiwi,Arabia Saudita,0,1
1998,David Beckham,Inglaterra,0,1
1998,Craig Burley,Escocia,0,1
1998,Marcel Desailly,Francia,0,1
1998,Seok Ju Ha,Corea del Sur,0,1
1998,Raymond Kalla,Camerún,0,1
1998,Patrick Kluivert,Paises Bajos,0,1
1998,Lauren,Camerún,0,1
1998,Miklos Molnar,Dinamarca,0,1
1998,Anatoli Nankov,Bulgaria,0,1
1998,Pavel Pardo,México,0,1
1998,Darryl Powell,Jamaica,0,1
1998,Gert Verheyen,Bélgica,0,1
1998,Christian Woerns,Alemania,0,1
1998,Cesar Sampaio,Brasil,3,0
1998,Didier Deschamps,Francia,3,0
1998,Dario Simic,Croacia,3,0
1998,Mario Stanic,Croacia,3,0
1998,Aldair,Brasil,2,0
1998,Francisco Arce,Paraguay,2,0
1998,Aljosa Asanovic,Croacia,2,0
1998,Miguel Benitez,Paraguay,2,0
1998,Slaven Bilic,Croacia,2,0
1998,Cuauhtemoc Blanco,México,2,0
1998,Zvonimir Boban,Croacia,2,0
1998,Cafu,Brasil,2,0
1998,Jose Chamot,Argentina,2,0
1998,Said Chiba,Marruecos,2,0
1998,Clayton,Túnez,2,0
1998,Soren Colding,Dinamarca,2,0
1998,Alessandro Costacurta,Italia,2,0
1998,Edgar Davids,Paises Bajos,2,0
1998,Luigi Di Biagio,Italia,2,0
1998,Iulian Filipescu,Rumania,2,0
1998,Didi Hamann,Alemania,2,0
1998,Joerg Heinrich,Alemania,2,0
1998,Darren Jackson,Escocia,2,0
1998,Junior Baiano,Brasil,2,0
1998,Min Sung Lee,Corea del Sur,2,0
1998,Paolo Maldini,Italia,2,0
1998,Lothar Matthaeus,Alemania,2,0
1998,Eisuke Nakanishi,Japón,2,0
1998,Uche Okechukwu,Nigeria,2,0
1998,Jay Jay Okocha,Nigeria,2,0
1998,Nelson Parraguez,Chile,2,0
1998,Dan Petrescu,Rumania,2,0
1998,Gheorghe Popescu,Rumania,2,0
1998,Lucas Radebe,Sudáfrica,2,0
1998,Kjetil Rekdal,Noruega,2,0
1998,Marc Rieper,Dinamarca,2,0
1998,Francisco Rojas,Chile,2,0
1998,Jose Santa,Colombia,2,0
1998,Peter Schoettel,Austria,2,0
1998,Zvonimir Soldo,Croacia,2,0
1998,Jaap Stam,Paises Bajos,2,0
1998,Dragan Stojkovic,RF de Yugoslavia,2,0
1998,Michael Tarnat,Alemania,2,0
1998,Stig Tofting,Dinamarca,2,0
1998,Moises Villarroel,Chile,2,0
1998,Clarence Acuña,Chile,1,0
1998,Mutiu Adepoju,Nigeria,1,0
1998,Aguilera,España,1,0
1998,Yutaka Akita,Japón,1,0
1998,Khamis Al Dossari,Arabia Saudita,1,0
1998,Sami Al Jaber,Arabia Saudita,1,0
