anio,posicion,seleccion
1990,1,Alemania Occidental
1990,2,Argentina
1990,3,Italia
1990,4,Inglaterra
1990,5,Yugoslavia
1990,6,Checoslovaquia
1990,7,Camerún
1990,8,Irlanda
1990,9,Brasil
1990,10,España
1990,11,Bélgica
1990,12,Rumania
1990,13,Costa Rica
1990,14,Colombia
1990,15,Paises Bajos
1990,16,Uruguay
1990,17,URSS
1990,18,Austria
1990,18,Escocia
1990,20,Egipto
1990,21,Suecia
1990,22,Corea del Sur
1990,23,Estados Unidos
1990,24,Emiratos Arabes
