anio,jugador,seleccion,amarillas,rojas
1990,Andre Kana-Biyik,Camerún,2,1
1990,Benjamin Massing,Camerún,2,1
1990,Pedro Monzon,Argentina,2,1
1990,Lubomir Moravcik,Checoslovaquia,2,1
1990,Frank Rijkaard,Paises Bajos,2,1
1990,Refik Sabanadzovic,Yugoslavia,2,1
1990,Rudi Voeller,Alemania Occidental,2,1
1990,Gustavo Dezotti,Argentina,1,1
1990,Ricardo Giusti,Argentina,1,1
1990,Deok Yeo Yoon,Corea del Sur,1,1
1990,Peter Artner,Austria,0,1
1990,Vladimir Bessonov,URSS,0,1
1990,Eric Gerets,Bélgica,0,1
1990,Khaleel Ghanim,Emiratos Arabes,0,1
1990,Ricardo Gomes,Brasil,0,1
1990,Eric Wynalda,Estados Unidos,0,1
1990,Andreas Brehme,Alemania Occidental,3,0
1990,Jose Serrizuela,Argentina,3,0
1990,Jimmy Banks,Estados Unidos,2,0
1990,Sergio Batista,Argentina,2,0
1990,Nicola Berti,Italia,2,0
1990,Claudio Caniggia,Argentina,2,0
1990,Paul Gascoigne,Inglaterra,2,0
1990,Gabriel Gomez,Colombia,2,0
1990,Roger Gomez,Costa Rica,2,0
1990,Gheorghe Hagi,Rumania,2,0
1990,Lubos Kubik,Checoslovaquia,2,0
1990,Marius Lacatus,Rumania,2,0
1990,Diego Maradona,Argentina,2,0
1990,Hector Marchena,Costa Rica,2,0
1990,Emile Mbouh,Camerún,2,0
1990,Roger Milla,Camerún,2,0
1990,Mozer,Brasil,2,0
1990,Victor Ndip,Camerún,2,0
1990,Thomas Nkono,Camerún,2,0
1990,Julio Olarticoechea,Argentina,2,0
1990,Jules Denis Onana,Camerún,2,0
1990,Robert Pecl,Austria,2,0
1990,Jose Perdomo,Uruguay,2,0
1990,Frantisek Straka,Checoslovaquia,2,0
1990,Pedro Troglio,Argentina,2,0
1990,Yousuf Hussain,Emiratos Arabes,2,0
1990,Manfred Zsak,Austria,2,0
1990,Magdy Abedelghani,Egipto,1,0
1990,John Aldridge,Irlanda,1,0
1990,Leonel Alvarez,Colombia,1,0
1990,Fernando Alvez,Uruguay,1,0
1990,Roberto Baggio,Italia,1,0
1990,Peter Beardsley,Inglaterra,1,0
1990,Thomas Berthold,Alemania Occidental,1,0
1990,Michal Bilek,Checoslovaquia,1,0
1990,Branco,Brasil,1,0
1990,Dragoljub Brnovic,Yugoslavia,1,0
1990,Jorge Burruchaga,Argentina,1,0
1990,Paul Caligiuri,Estados Unidos,1,0
1990,Chendo,España,1,0
1990,Soon Ho Choi,Corea del Sur,1,0
1990,Kang Hee Choi,Corea del Sur,1,0
1990,Jozef Chovanec,Checoslovaquia,1,0
1990,Hae Won Chung,Corea del Sur,1,0
1990,Luigi De Agostini,Italia,1,0
1990,Dunga,Brasil,1,0
1990,Eissa Meer,Emiratos Arabes,1,0
1990,Riccardo Ferri,Italia,1,0
1990,Enzo Francescoli,Uruguay,1,0
1990,Giuseppe Giannini,Italia,1,0
1990,Gerald Glatzmayer,Austria,1,0
1990,Ronald Gonzalez,Costa Rica,1,0
1990,Sergio Goycochea,Argentina,1,0
1990,Nelson Gutierrez,Uruguay,1,0
1990,Ivan Hasek,Checoslovaquia,1,0
1990,Ibrahim Hassan,Egipto,1,0
1990,Luis Herrera,Colombia,1,0
1990,Jose Herrera,Uruguay,1,0
1990,Andreas Herzog,Austria,1,0
1990,Hussain Ghuloum,Emiratos Arabes,1,0
1990,Bo Kwan Hwang,Corea del Sur,1,0
1990,Ibrahim Meer,Emiratos Arabes,1,0
1990,Claudio Jara,Costa Rica,1,0
1990,Manuel Jimenez,España,1,0
1990,Mo Johnston,Escocia,1,0
1990,Jorginho,Brasil,1,0
1990,Miroslav Kadlec,Checoslovaquia,1,0
1990,Srecko Katanec,Yugoslavia,1,0
1990,Vagiz Khidiyatullin,URSS,1,0
1990,Wim Kieft,Paises Bajos,1,0
1990,Michael Klein,Rumania,1,0
1990,Juergen Klinsmann,Alemania Occidental,1,0
1990,Ivo Knoflicek,Checoslovaquia,1,0
1990,Jan Kocian,Checoslovaquia,1,0
1990,Heung Sil Lee,Corea del Sur,1,0
1990,Klaus Lindenberger,Austria,1,0
1990,Ioan Lupescu,Rumania,1,0
1990,Danut Lupu,Rumania,1,0
1990,Lothar Matthaeus,Alemania Occidental,1,0
1990,Mauro Galvao,Brasil,1,0
1990,Paul Mcgrath,Irlanda,1,0
1990,Murdo Mcleod,Escocia,1,0
1990,Steve Mcmahon,Inglaterra,1,0
1990,David Mcpherson,Escocia,1,0
1990,Tony Meola,Estados Unidos,1,0
1990,Kevin Moran,Irlanda,1,0
1990,Chris Morris,Irlanda,1,0
1990,Bruce Murray,Estados Unidos,1,0
1990,Joakim Nilsson,Suecia,1,0
1990,Santiago Ostolaza,Uruguay,1,0
1990,Darko Pancev,Yugoslavia,1,0
1990,Paul Parker,Inglaterra,1,0
1990,Stuart Pearce,Inglaterra,1,0
1990,Luis Carlos Perea,Colombia,1,0
1990,Anton Pfeffer,Austria,1,0
1990,Jose Pintos,Uruguay,1,0
1990,Oleg Protasov,URSS,1,0
