anio,id_partido_str,equipo,jugador,minuto,es_penal,es_autogol
1990,1990_gA_1,Italia,Salvatore Schillaci,78,NO,NO
1990,1990_gA_2,Estados Unidos,Paul Caligiuri,60,NO,NO
1990,1990_gA_2,Checoslovaquia,Tomas Skuhravy,26,NO,NO
1990,1990_gA_2,Checoslovaquia,Michal Bilek,40,SI,NO
1990,1990_gA_2,Checoslovaquia,Ivan Hasek,50,NO,NO
1990,1990_gA_2,Checoslovaquia,Tomas Skuhravy,78,NO,NO
1990,1990_gA_2,Checoslovaquia,Milan Luhovy,90,NO,NO
1990,1990_gA_3,Italia,Giuseppe Giannini,11,NO,NO
1990,1990_gA_4,Checoslovaquia,Michal Bilek,31,SI,NO
1990,1990_gA_5,Italia,Salvatore Schillaci,9,NO,NO
1990,1990_gA_5,Italia,Roberto Baggio,78,NO,NO
1990,1990_gA_6,Austria,Andeas Ogris,49,NO,NO
1990,1990_gA_6,Austria,Gerhard Rodax,63,NO,NO
1990,1990_gA_6,Estados Unidos,Bruce Murray,83,NO,NO
1990,1990_gB_1,Camerún,Francois Omam-Biyik,67,NO,NO
1990,1990_gB_2,Rumania,Marius Lacatus,41,NO,NO
1990,1990_gB_2,Rumania,Marius Lacatus,55,SI,NO
1990,1990_gB_3,Argentina,Pedro Troglio,27,NO,NO
1990,1990_gB_3,Argentina,Jorge Burruchaga,79,NO,NO
1990,1990_gB_4,Camerún,Roger Milla,76,NO,NO
1990,1990_gB_4,Camerún,Roger Milla,86,NO,NO
1990,1990_gB_4,Rumania,Gavril Balint,88,NO,NO
1990,1990_gB_5,Argentina,Pedro Monzon,62,NO,NO
1990,1990_gB_5,Rumania,Gavril Balint,68,NO,NO
1990,1990_gB_6,URSS,Oleg Protasov,20,NO,NO
1990,1990_gB_6,URSS,Andrei Zygmantovich,29,NO,NO
1990,1990_gB_6,URSS,Aleksandr Zavarov,52,NO,NO
1990,1990_gB_6,URSS,Igor Dobrovolskyi,63,NO,NO
1990,1990_gC_1,Brasil,Careca,40,NO,NO
1990,1990_gC_1,Brasil,Careca,63,NO,NO
1990,1990_gC_1,Suecia,Tomas Brolin,79,NO,NO
1990,1990_gC_2,Costa Rica,Juan Cayasso,49,NO,NO
1990,1990_gC_3,Brasil,Muller,33,NO,NO
1990,1990_gC_4,Suecia,Glenn Stromberg,86,NO,NO
1990,1990_gC_4,Escocia,Stuart Mccall,11,NO,NO
1990,1990_gC_4,Escocia,Mo Johnston,81,SI,NO
1990,1990_gC_5,Brasil,Muller,81,NO,NO
1990,1990_gC_6,Suecia,Johnny Ekstrom,32,NO,NO
