anio,jugador,seleccion,goles,partidos,promedio
1990,Salvatore Schillaci,Italia,6,7,0.86
1990,Tomas Skuhravy,Checoslovaquia,5,5,1.00
1990,Gary Lineker,Inglaterra,4,7,0.57
1990,Lothar Matthaeus,Alemania Occidental,4,7,0.57
1990,Michel,España,4,4,1.00
1990,Roger Milla,Camerún,4,5,0.80
1990,Andreas Brehme,Alemania Occidental,3,6,0.50
1990,Juergen Klinsmann,Alemania Occidental,3,7,0.43
1990,David Platt,Inglaterra,3,6,0.50
1990,Rudi Voeller,Alemania Occidental,3,6,0.50
1990,Roberto Baggio,Italia,2,5,0.40
1990,Gavril Balint,Rumania,2,4,0.50
1990,Michal Bilek,Checoslovaquia,2,5,0.40
1990,Claudio Caniggia,Argentina,2,6,0.33
1990,Careca,Brasil,2,4,0.50
1990,Davor Jozic,Yugoslavia,2,5,0.40
1990,Marius Lacatus,Rumania,2,3,0.67
1990,Muller,Brasil,2,4,0.50
1990,Darko Pancev,Yugoslavia,2,3,0.67
1990,Bernardo Redin,Colombia,2,3,0.67
1990,Dragan Stojkovic,Yugoslavia,2,5,0.40
1990,Magdy Abedelghani,Egipto,1,3,0.33
1990,Uwe Bein,Alemania Occidental,1,4,0.25
1990,Pablo Bengoechea,Uruguay,1,1,1.00
1990,Tomas Brolin,Suecia,1,3,0.33
1990,Jorge Burruchaga,Argentina,1,7,0.14
1990,Paul Caligiuri,Estados Unidos,1,3,0.33
1990,Juan Cayasso,Costa Rica,1,4,0.25
1990,Jan Ceulemans,Bélgica,1,4,0.25
1990,Leo Clijsters,Bélgica,1,3,0.33
1990,Marc De Grijse,Bélgica,1,4,0.25
1990,Michel De Wolf,Bélgica,1,4,0.25
1990,Igor Dobrovolskyi,URSS,1,3,0.33
1990,Eugene Ekeke,Camerún,1,1,1.00
1990,Johnny Ekstrom,Suecia,1,2,0.50
1990,Roger Flores,Costa Rica,1,4,0.25
1990,Daniel Fonseca,Uruguay,1,2,0.50
1990,Giuseppe Giannini,Italia,1,7,0.14
1990,Ronald Gonzalez,Costa Rica,1,4,0.25
1990,Alberto Gorriz,España,1,4,0.25
1990,Ruud Gullit,Paises Bajos,1,4,0.25
1990,Ivan Hasek,Checoslovaquia,1,5,0.20
1990,Bo Kwan Hwang,Corea del Sur,1,2,0.50
1990,Mo Johnston,Escocia,1,3,0.33
1990,Julio Salinas,España,1,3,0.33
1990,Ali Thani Jumaa,Emiratos Arabes,1,3,0.33
1990,Khalid Ismail,Emiratos Arabes,1,2,0.50
1990,Wim Kieft,Paises Bajos,1,4,0.25
1990,Ronald Koeman,Paises Bajos,1,4,0.25
1990,Lubos Kubik,Checoslovaquia,1,4,0.25
1990,Emmanuel Kunde,Camerún,1,4,0.25
1990,Pierre Littbarski,Alemania Occidental,1,6,0.17
1990,Milan Luhovy,Checoslovaquia,1,1,1.00
1990,Stuart Mccall,Escocia,1,3,0.33
1990,Hernan Medford,Costa Rica,1,3,0.33
1990,Pedro Monzon,Argentina,1,4,0.25
1990,Bruce Murray,Estados Unidos,1,3,0.33
1990,Andeas Ogris,Austria,1,3,0.33
1990,Francois Omam-Biyik,Camerún,1,5,0.20
1990,Robert Prosinecki,Yugoslavia,1,3,0.33
1990,Oleg Protasov,URSS,1,3,0.33
1990,Niall Quinn,Irlanda,1,4,0.25
1990,Freddy Rincon,Colombia,1,4,0.25
1990,Gerhard Rodax,Austria,1,2,0.50
1990,Enzo Scifo,Bélgica,1,4,0.25
1990,Aldo Serena,Italia,1,3,0.33
1990,Kevin Sheedy,Irlanda,1,5,0.20
1990,Glenn Stromberg,Suecia,1,3,0.33
1990,Safet Susic,Yugoslavia,1,5,0.20
1990,Pedro Troglio,Argentina,1,6,0.17
1990,Carlos Valderrama,Colombia,1,4,0.25
1990,Patrick Vervoort,Bélgica,1,3,0.33
1990,Mark Wright,Inglaterra,1,6,0.17
1990,Aleksandr Zavarov,URSS,1,3,0.33
1990,Andrei Zygmantovich,URSS,1,2,0.50
