anio,id_grupo,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
2022,A,Paises Bajos,7,3,2,1,0,5,1,4,Si
2022,A,Senegal,6,3,2,0,1,5,4,1,Si
2022,A,Ecuador,4,3,1,1,1,4,3,1,No
2022,A,Catar,0,3,0,0,3,1,7,-6,No
2022,B,Inglaterra,7,3,2,1,0,9,2,7,Si
2022,B,Estados Unidos,5,3,1,2,0,2,1,1,Si
2022,B,Irán,3,3,1,0,2,4,7,-3,No
2022,B,Gales,1,3,0,1,2,1,6,-5,No
2022,C,Argentina,6,3,2,0,1,5,2,3,Si
2022,C,Polonia,4,3,1,1,1,2,2,0,Si
2022,C,México,4,3,1,1,1,2,3,-1,No
2022,C,Arabia Saudita,3,3,1,0,2,3,5,-2,No
2022,D,Francia,6,3,2,0,1,6,3,3,Si
2022,D,Australia,6,3,2,0,1,3,4,-1,Si
2022,D,Túnez,4,3,1,1,1,1,1,0,No
2022,D,Dinamarca,1,3,0,1,2,1,3,-2,No
2022,E,Japón,6,3,2,0,1,4,3,1,Si
2022,E,España,4,3,1,1,1,9,3,6,Si
2022,E,Alemania,4,3,1,1,1,6,5,1,No
2022,E,Costa Rica,3,3,1,0,2,3,11,-8,No
2022,F,Marruecos,7,3,2,1,0,4,1,3,Si
2022,F,Croacia,5,3,1,2,0,4,1,3,Si
2022,F,Bélgica,4,3,1,1,1,1,2,-1,No
2022,F,Canadá,0,3,0,0,3,2,7,-5,No
2022,G,Brasil,6,3,2,0,1,3,1,2,Si
2022,G,Suiza,6,3,2,0,1,4,3,1,Si
2022,G,Camerún,4,3,1,1,1,4,4,0,No
2022,G,Serbia,1,3,0,1,2,5,8,-3,No
2022,H,Portugal,6,3,2,0,1,6,4,2,Si
2022,H,Corea del Sur,4,3,1,1,1,4,4,0,Si
2022,H,Uruguay,4,3,1,1,1,2,2,0,No
2022,H,Ghana,3,3,1,0,2,5,7,-2,No
