anio,id_partido_str,num_partido,num_partido_seq,fuente,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
2018,2018_gA_1,1,1,grupo_A,14-Jun-2018,Grupo A,Rusia,Arabia Saudita,5,0,NO,NO,,
2018,2018_gA_2,2,2,grupo_A,15-Jun-2018,Grupo A,Egipto,Uruguay,0,1,NO,NO,,
2018,2018_gA_3,3,3,grupo_A,19-Jun-2018,Grupo A,Rusia,Egipto,3,1,NO,NO,,
2018,2018_gA_4,4,4,grupo_A,20-Jun-2018,Grupo A,Uruguay,Arabia Saudita,1,0,NO,NO,,
2018,2018_gA_5,5,5,grupo_A,25-Jun-2018,Grupo A,Uruguay,Rusia,3,0,NO,NO,,
2018,2018_gA_6,6,6,grupo_A,25-Jun-2018,Grupo A,Arabia Saudita,Egipto,2,1,NO,NO,,
2018,2018_gB_1,1,7,grupo_B,15-Jun-2018,Grupo B,Portugal,España,3,3,NO,NO,,
2018,2018_gB_2,2,8,grupo_B,15-Jun-2018,Grupo B,Marruecos,Irán,0,1,NO,NO,,
2018,2018_gB_3,3,9,grupo_B,20-Jun-2018,Grupo B,Portugal,Marruecos,1,0,NO,NO,,
2018,2018_gB_4,4,10,grupo_B,20-Jun-2018,Grupo B,Irán,España,0,1,NO,NO,,
2018,2018_gB_5,5,11,grupo_B,25-Jun-2018,Grupo B,Irán,Portugal,1,1,NO,NO,,
2018,2018_gB_6,6,12,grupo_B,25-Jun-2018,Grupo B,España,Marruecos,2,2,NO,NO,,
2018,2018_gC_1,1,13,grupo_C,16-Jun-2018,Grupo C,Francia,Australia,2,1,NO,NO,,
2018,2018_gC_2,2,14,grupo_C,16-Jun-2018,Grupo C,Perú,Dinamarca,0,1,NO,NO,,
2018,2018_gC_3,3,15,grupo_C,21-Jun-2018,Grupo C,Francia,Perú,1,0,NO,NO,,
2018,2018_gC_4,4,16,grupo_C,21-Jun-2018,Grupo C,Dinamarca,Australia,1,1,NO,NO,,
2018,2018_gC_5,5,17,grupo_C,26-Jun-2018,Grupo C,Dinamarca,Francia,0,0,NO,NO,,
2018,2018_gC_6,6,18,grupo_C,26-Jun-2018,Grupo C,Australia,Perú,0,2,NO,NO,,
2018,2018_gD_1,1,19,grupo_D,16-Jun-2018,Grupo D,Argentina,Islandia,1,1,NO,NO,,
2018,2018_gD_2,2,20,grupo_D,16-Jun-2018,Grupo D,Croacia,Nigeria,2,0,NO,NO,,
2018,2018_gD_3,3,21,grupo_D,21-Jun-2018,Grupo D,Argentina,Croacia,0,3,NO,NO,,
2018,2018_gD_4,4,22,grupo_D,22-Jun-2018,Grupo D,Nigeria,Islandia,2,0,NO,NO,,
2018,2018_gD_5,5,23,grupo_D,26-Jun-2018,Grupo D,Nigeria,Argentina,1,2,NO,NO,,
2018,2018_gD_6,6,24,grupo_D,26-Jun-2018,Grupo D,Islandia,Croacia,1,2,NO,NO,,
2018,2018_gE_1,1,25,grupo_E,17-Jun-2018,Grupo E,Brasil,Suiza,1,1,NO,NO,,
2018,2018_gE_2,2,26,grupo_E,17-Jun-2018,Grupo E,Costa Rica,Serbia,0,1,NO,NO,,
2018,2018_gE_3,3,27,grupo_E,22-Jun-2018,Grupo E,Brasil,Costa Rica,2,0,NO,NO,,
2018,2018_gE_4,4,28,grupo_E,22-Jun-2018,Grupo E,Serbia,Suiza,1,2,NO,NO,,
2018,2018_gE_5,5,29,grupo_E,27-Jun-2018,Grupo E,Serbia,Brasil,0,2,NO,NO,,
2018,2018_gE_6,6,30,grupo_E,27-Jun-2018,Grupo E,Suiza,Costa Rica,2,2,NO,NO,,
2018,2018_gF_1,1,31,grupo_F,17-Jun-2018,Grupo F,Alemania,México,0,1,NO,NO,,
2018,2018_gF_2,2,32,grupo_F,18-Jun-2018,Grupo F,Suecia,Corea del Sur,1,0,NO,NO,,
2018,2018_gF_3,3,33,grupo_F,23-Jun-2018,Grupo F,Alemania,Suecia,2,1,NO,NO,,
2018,2018_gF_4,4,34,grupo_F,23-Jun-2018,Grupo F,Corea del Sur,México,1,2,NO,NO,,
2018,2018_gF_5,5,35,grupo_F,27-Jun-2018,Grupo F,Corea del Sur,Alemania,2,0,NO,NO,,
2018,2018_gF_6,6,36,grupo_F,27-Jun-2018,Grupo F,México,Suecia,0,3,NO,NO,,
2018,2018_gG_1,1,37,grupo_G,18-Jun-2018,Grupo G,Bélgica,Panamá,3,0,NO,NO,,
2018,2018_gG_2,2,38,grupo_G,18-Jun-2018,Grupo G,Túnez,Inglaterra,1,2,NO,NO,,
2018,2018_gG_3,3,39,grupo_G,23-Jun-2018,Grupo G,Bélgica,Túnez,5,2,NO,NO,,
2018,2018_gG_4,4,40,grupo_G,24-Jun-2018,Grupo G,Inglaterra,Panamá,6,1,NO,NO,,
2018,2018_gG_5,5,41,grupo_G,28-Jun-2018,Grupo G,Inglaterra,Bélgica,0,1,NO,NO,,
2018,2018_gG_6,6,42,grupo_G,28-Jun-2018,Grupo G,Panamá,Túnez,1,2,NO,NO,,
2018,2018_gH_1,1,43,grupo_H,19-Jun-2018,Grupo H,Polonia,Senegal,1,2,NO,NO,,
2018,2018_gH_2,2,44,grupo_H,19-Jun-2018,Grupo H,Colombia,Japón,1,2,NO,NO,,
2018,2018_gH_3,3,45,grupo_H,24-Jun-2018,Grupo H,Polonia,Colombia,0,3,NO,NO,,
2018,2018_gH_4,4,46,grupo_H,24-Jun-2018,Grupo H,Japón,Senegal,2,2,NO,NO,,
2018,2018_gH_5,5,47,grupo_H,28-Jun-2018,Grupo H,Japón,Polonia,0,1,NO,NO,,
2018,2018_gH_6,6,48,grupo_H,28-Jun-2018,Grupo H,Senegal,Colombia,0,1,NO,NO,,
2018,2018_r_1,1,49,resultados,14-Jun-2018,"1ra Ronda, Grupo A",Rusia,Arabia Saudita,5,0,NO,NO,,
2018,2018_r_2,2,50,resultados,15-Jun-2018,"1ra Ronda, Grupo A",Egipto,Uruguay,0,1,NO,NO,,
2018,2018_r_3,3,51,resultados,15-Jun-2018,"1ra Ronda, Grupo B",Portugal,España,3,3,NO,NO,,
2018,2018_r_4,4,52,resultados,15-Jun-2018,"1ra Ronda, Grupo B",Marruecos,Irán,0,1,NO,NO,,
2018,2018_r_5,5,53,resultados,16-Jun-2018,"1ra Ronda, Grupo C",Francia,Australia,2,1,NO,NO,,
2018,2018_r_6,6,54,resultados,16-Jun-2018,"1ra Ronda, Grupo C",Perú,Dinamarca,0,1,NO,NO,,
2018,2018_r_7,7,55,resultados,16-Jun-2018,"1ra Ronda, Grupo D",Argentina,Islandia,1,1,NO,NO,,
2018,2018_r_8,8,56,resultados,16-Jun-2018,"1ra Ronda, Grupo D",Croacia,Nigeria,2,0,NO,NO,,
