anio,id_partido_str,equipo,jugador,minuto,es_penal,es_autogol
2018,2018_gG_3,Túnez,Dylan Bronn,18,NO,NO
2018,2018_gG_3,Túnez,Wahbi Khazri,90,NO,NO
2018,2018_gG_4,Inglaterra,John Stones,8,NO,NO
2018,2018_gG_4,Inglaterra,Harry Kane,22,SI,NO
2018,2018_gG_4,Inglaterra,Jesse Lingard,36,NO,NO
2018,2018_gG_4,Inglaterra,John Stones,40,NO,NO
2018,2018_gG_4,Inglaterra,Harry Kane,45,SI,NO
2018,2018_gG_4,Inglaterra,Harry Kane,62,NO,NO
2018,2018_gG_4,Panamá,Felipe Baloy,78,NO,NO
2018,2018_gG_5,Bélgica,Adnan Januzaj,51,NO,NO
2018,2018_gG_6,Panamá,Yassine Meriah,33,NO,SI
2018,2018_gG_6,Túnez,Fakhreddine Ben Youssef,51,NO,NO
2018,2018_gG_6,Túnez,Wahbi Khazri,66,NO,NO
2018,2018_gH_1,Polonia,Grzegorz Krychowiak,86,NO,NO
2018,2018_gH_1,Senegal,Thiago Cionek,37,NO,SI
2018,2018_gH_1,Senegal,M'Baye Niang,60,NO,NO
2018,2018_gH_2,Colombia,Juan Quintero,39,NO,NO
2018,2018_gH_2,Japón,Shinji Kagawa,6,SI,NO
2018,2018_gH_2,Japón,Yuya Osako,73,NO,NO
2018,2018_gH_3,Colombia,Yerry Mina,40,NO,NO
2018,2018_gH_3,Colombia,Radamel Falcao,70,NO,NO
2018,2018_gH_3,Colombia,Juan Guillermo Cuadrado,75,NO,NO
2018,2018_gH_4,Japón,Takashi Inui,34,NO,NO
2018,2018_gH_4,Japón,Keisuke Honda,78,NO,NO
2018,2018_gH_4,Senegal,Sadio Mané,11,NO,NO
2018,2018_gH_4,Senegal,Moussa Wagué,71,NO,NO
2018,2018_gH_5,Polonia,Jan Bednarek,59,NO,NO
2018,2018_gH_6,Colombia,Yerry Mina,74,NO,NO
2018,2018_r_49,Uruguay,Edinson Cavani,7,NO,NO
2018,2018_r_49,Uruguay,Edinson Cavani,62,NO,NO
2018,2018_r_49,Portugal,Pepe,55,NO,NO
2018,2018_r_50,Francia,Antoine Griezmann,13,SI,NO
2018,2018_r_50,Francia,Benjamin Pavard,57,NO,NO
2018,2018_r_50,Francia,Kylian Mbappé,64,NO,NO
2018,2018_r_50,Francia,Kylian Mbappé,68,NO,NO
2018,2018_r_50,Argentina,Angel Di Maria,41,NO,NO
2018,2018_r_50,Argentina,Gabriel Mercado,48,NO,NO
2018,2018_r_50,Argentina,Sergio Agüero,90,NO,NO
2018,2018_r_51,España,Sergei Ignashevich,12,NO,SI
2018,2018_r_51,Rusia,Artem Dzyuba,41,SI,NO
2018,2018_r_52,Croacia,Mario Mandzukic,4,NO,NO
2018,2018_r_52,Dinamarca,Mathias Jørgensen,1,NO,NO
2018,2018_r_53,Brasil,Neymar Jr.,51,NO,NO
2018,2018_r_53,Brasil,Roberto Firmino,88,NO,NO
2018,2018_r_54,Bélgica,Jan Vertonghen,69,NO,NO
2018,2018_r_54,Bélgica,Marouane Fellaini,74,NO,NO
2018,2018_r_54,Bélgica,Nacer Chadli,90,NO,NO
2018,2018_r_54,Japón,Genki Haraguchi,48,NO,NO
2018,2018_r_54,Japón,Takashi Inui,52,NO,NO
2018,2018_r_55,Suecia,Emil Forsberg,66,NO,NO
2018,2018_r_56,Colombia,Yerry Mina,90,NO,NO
2018,2018_r_56,Inglaterra,Harry Kane,57,SI,NO
2018,2018_r_57,Francia,Raphael Varane,40,NO,NO
2018,2018_r_57,Francia,Antoine Griezmann,61,NO,NO
2018,2018_r_58,Brasil,Renato Augusto,76,NO,NO
2018,2018_r_58,Bélgica,Fernandinho,13,NO,SI
2018,2018_r_58,Bélgica,Kevin De Bruyne,31,NO,NO
2018,2018_r_59,Rusia,Denis Cheryshev,31,NO,NO
2018,2018_r_59,Rusia,Mário Fernandes,115,NO,NO
2018,2018_r_59,Croacia,Andrej Kramarić,39,NO,NO
2018,2018_r_59,Croacia,Domagoj Vida,101,NO,NO
2018,2018_r_60,Inglaterra,Harry Maguire,30,NO,NO
2018,2018_r_60,Inglaterra,Dele Alli,59,NO,NO
2018,2018_r_61,Francia,Samuel Umtiti,51,NO,NO
2018,2018_r_62,Croacia,Ivan Perisic,68,NO,NO
2018,2018_r_62,Croacia,Mario Mandzukic,109,NO,NO
2018,2018_r_62,Inglaterra,Kieran Trippier,5,NO,NO
2018,2018_r_63,Bélgica,Thomas Meunier,4,NO,NO
2018,2018_r_63,Bélgica,Eden Hazard,82,NO,NO
2018,2018_r_64,Francia,Mario Mandzukic,18,NO,SI
2018,2018_r_64,Francia,Antoine Griezmann,38,SI,NO
2018,2018_r_64,Francia,Paul Pogba,59,NO,NO
2018,2018_r_64,Francia,Kylian Mbappé,65,NO,NO
2018,2018_r_64,Croacia,Ivan Perisic,28,NO,NO
2018,2018_r_64,Croacia,Mario Mandzukic,69,NO,NO
