anio,id_grupo,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1970,1,URSS,5,3,2,1,0,6,1,5,Si
1970,1,México,5,3,2,1,0,5,0,5,Si
1970,1,Bélgica,2,3,1,0,2,4,5,-1,No
1970,1,El Salvador,0,3,0,0,3,0,9,-9,No
1970,2,Italia,4,3,1,2,0,1,0,1,Si
1970,2,Uruguay,3,3,1,1,1,2,1,1,Si
1970,2,Suecia,3,3,1,1,1,2,2,0,No
1970,2,Israel,2,3,0,2,1,1,3,-2,No
1970,3,Brasil,6,3,3,0,0,8,3,5,Si
1970,3,Inglaterra,4,3,2,0,1,2,1,1,Si
1970,3,Rumania,2,3,1,0,2,4,5,-1,No
1970,3,Checoslovaquia,0,3,0,0,3,2,7,-5,No
1970,4,Alemania Occidental,6,3,3,0,0,10,4,6,Si
1970,4,Perú,4,3,2,0,1,7,5,2,Si
1970,4,Bulgaria,1,3,0,1,2,5,9,-4,No
1970,4,Marruecos,1,3,0,1,2,2,6,-4,No
