anio,posicion,seleccion
2018,1,Francia
2018,2,Croacia
2018,3,Bélgica
2018,4,Inglaterra
2018,5,Uruguay
2018,6,Brasil
2018,7,Suecia
2018,8,Rusia
2018,9,Colombia
2018,10,España
2018,11,Dinamarca
2018,12,México
2018,13,Portugal
2018,14,Suiza
2018,15,Japón
2018,16,Argentina
2018,17,Senegal
2018,18,Irán
2018,19,Corea del Sur
2018,20,Perú
2018,21,Nigeria
2018,22,Alemania
2018,23,Serbia
2018,24,Túnez
2018,25,Polonia
2018,26,Arabia Saudita
2018,27,Marruecos
2018,28,Islandia
2018,29,Costa Rica
2018,30,Australia
2018,31,Egipto
2018,32,Panamá
