anio,posicion,jugador,seleccion
2018,Arquero,Thibaut Courtois,Bélgica
2018,Defensores,Diego Godin,Uruguay
2018,Defensores,Marcelo,Brasil
2018,Defensores,Thiago Silva,Brasil
2018,Defensores,Raphael Varane,Francia
2018,Mediocampistas,Kevin De Bruyne,Bélgica
2018,Mediocampistas,Luka Modric,Croacia
2018,Mediocampistas,Philippe Coutinho,Brasil
2018,Delanteros,Harry Kane,Inglaterra
2018,Delanteros,Kylian Mbappé,Francia
2018,Delanteros,Cristiano Ronaldo,Portugal
