anio,tipo_premio,jugador,seleccion
2018,Balón de Oro,Luka Modric,Croacia
2018,Balón de Plata,Eden Hazard,Bélgica
2018,Balón de Bronce,Antoine Griezmann,Francia
2018,Botín de Oro,Harry Kane,Inglaterra
2018,Botín de Plata,Antoine Griezmann,Francia
2018,Botín de Bronce,Romelu Lukaku,Bélgica
2018,Guante de Oro,Thibaut Courtois,Bélgica
2018,Mejor Jugador Joven,Kylian Mbappé,Francia
2018,FIFA Fair Play,España,España
