anio,tipo_premio,jugador,seleccion
2002,Balón de Oro,Oliver Kahn,Alemania
2002,Balón de Plata,Ronaldo,Brasil
2002,Balón de Bronce,Myung Bo Hong,Corea del Sur
2002,Botín de Oro,Ronaldo,Brasil
2002,Guante de Oro,Oliver Kahn,Alemania
2002,Mejor Jugador Joven,Landon Donovan,Estados Unidos
2002,FIFA Fair Play,Bélgica,Bélgica
